Episode_number,yaw,pitch,roll,max_x,max_y,height,max_time,total_reward,steps,explore,exploit
0,0,0,0,0,0,0,0,0,0,0,0
1,1.7196862744043935,1.5707963267948966,2.7828219833192214,5.153461456298828,3.521398901939392,2.0,0,-3889.3,326,287,40
2,1.795507495209539,1.5707963267948966,1.7818896600176428,3.6380412578582764,2.8478108644485474,3.499999999999999,0,24.9,1000,647,353
3,2.0123147519489026,1.5707963267948966,1.4778968016814824,2.477518230676651,2.6200209856033325,2.3,0,-292.0,201,189,13
4,1.6815552670204201,0.06003605844527842,1.6660486042136629,1.9904946386814117,3.741079807281494,3.1999999999999993,0,-1442.0,319,274,46
5,2.761086276477428,1.5707963267948966,2.7868870015788527,3.1846251487731934,2.9890629053115845,3.499999999999999,0,32.5,1000,633,367
6,2.158798930342464,1.5707963267948966,1.580419826726203,4.82899808883667,2.405496597290039,6.499999999999997,0.214216947555542,29.8,452,381,71
7,0.21866894587394198,0.22181447049679445,0.21866894587394198,3.900984048843384,1.4383553639054298,2.0,0,2.5,69,68,2
8,1.4399689307208396,0.7477626346599212,0.9903981394010225,2.538611888885498,1.3202890753746033,2.3,0,-245.3,166,157,10
9,1.492170869529263,0.8038023189330303,1.3639223778151537,2.55940580368042,2.1027570962905884,7.099999999999997,0.20852017402648926,14.7,192,175,17
10,1.4181469983996315,1.5707963267948966,1.7734549959423727,2.0349812507629395,4.284116506576538,6.1999999999999975,0.21090412139892578,13.9,176,159,17
11,1.8925468811915391,0.16069065295191062,0.12062366858010282,1.6749271154403687,0.7155610918998718,6.799999999999997,0.22488999366760254,10.5,90,83,7
12,1.5896620128165675,0.22181447049679442,1.523661452981396,2.150149941444397,1.3424032330513,6.499999999999997,0.19004082679748535,17.7,194,182,12
13,1.2531609755053659,0.8038023189330301,1.0695320619233142,1.5369056463241577,1.1901519000530243,6.499999999999997,0.14171504974365234,417.2,137,127,10
14,1.828120041765985,1.5707963267948966,1.605869657328122,1.0974368453025818,2.0052198064513505,6.1999999999999975,0.20473599433898926,39.800000000000004,225,208,17
15,1.5257817110203695,0.1202898823947881,1.7041465809664489,1.9271479845046997,1.321819007396698,6.799999999999997,0.19433212280273438,20.6,200,186,14
16,1.3787483095541666,0.8946658172342358,0.5280744484263598,2.4392768144607544,1.0227542463690042,6.1999999999999975,0.2230830192565918,30.299999999999994,156,142,14
17,2.034443935795703,0.24236585103896321,2.936197264400026,1.5654157772660255,2.500712275505066,6.799999999999997,0.19888997077941895,15.6,151,140,11
18,0,0,0,0,0,0,0,0,0,0,0
19,1.313472611823808,0.2837941092083278,2.6516353273360647,1.7421579957008362,3.0314407348632812,6.799999999999997,0.20735597610473633,22.1,212,197,15
20,0,0,0,0,0,0,0,0,0,0,0
21,1.8018869939907933,0.20135792079033082,1.8457061682755689,1.8392243385314941,1.9203530550003052,6.1999999999999975,0.20239496231079102,18.4,176,161,15
22,0,0,0,0,0,0,0,0,0,0,0
23,1.883697554675281,1.5707963267948966,1.5042281630190728,2.127980351448059,1.9007183909416199,6.799999999999997,0.1973121166229248,25.4,190,168,22
