Episode_number,max_x_ori,max_y_ori,max_z_ori,max_w_ori,max_x,max_y,height,max_time,total_reward,steps,explore,exploit
0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.3,2.1000000000000005,-1.0999999999999999,-6.70000000000035,0.8913873314857482,0.7163226723670959,5.299999999999998,0,96.64999999999917,300,153,147
2,0.4,0.30000000000000004,-0.20000000000000004,-6.399999999999993,0.3801470056176186,-0.6014870882034301,2.0,0,-1217.0499999999997,241,212,30
3,0.6,-0.4,-1.0999999999999999,-2.600000000000001,0.14090072214603425,-0.15980616435408593,6.1999999999999975,0.21161603927612305,1254.6,220,190,30
4,0.6,-0.4,-1.0999999999999999,-2.600000000000001,0.14090072214603425,-0.15980616435408593,6.1999999999999975,0.21161603927612305,1254.6,220,190,30
5,-0.6,0.5,-0.4,-1.9000000000000006,-0.03533616289496422,0.8615243196487427,6.1999999999999975,0.20488190650939941,387.75,201,181,20
6,0.6,0.09999999999999998,-0.20000000000000004,-3.0000000000000013,0.39411259740591054,0.45408613085746763,7.399999999999997,0.16179704666137695,712.4500000000005,227,205,22
7,0.2,-0.30000000000000004,-0.30000000000000004,-1.7000000000000004,0.3357134222984314,-0.8274450302124023,6.799999999999997,0.20731687545776367,18.818401834528323,145,132,13
8,0.5,0.30000000000000004,-0.20000000000000004,-1.9000000000000006,0.48845777064561846,0.43791711926460264,6.499999999999997,0.15853404998779297,362.75,145,134,11
9,-0.5,0.1,-0.10000000000000003,-2.0000000000000004,0.6799471378326416,0.6536968111991882,6.499999999999997,0.15465903282165527,58.14999999999999,161,146,15
10,0.8999999999999999,0.2,0.4,-1.6000000000000003,-0.4304272532463074,-1.1414988756179807,6.1999999999999975,0.19763803482055664,-167.4499427397749,151,140,11
11,0.8999999999999999,0.2,0.4,-1.6000000000000003,-0.4304272532463074,-1.1414988756179807,6.1999999999999975,0.19763803482055664,-167.4499427397749,151,140,11
12,0.5,0.30000000000000004,0.7,-1.5000000000000002,-0.39703261852264404,0.571064954996109,6.499999999999997,0.21830320358276367,41.449999999999996,155,138,17
13,0.4,0.5,0.30000000000000004,-2.2000000000000006,0.5307701647281646,-0.2912723958492279,6.499999999999997,0.20027995109558105,377.1000000000001,171,158,13
